issn,title,category,impact_factor
2157-6904,ACM Trans. Intelligent Systems and Technology,AI/ML,6.60
0924-669X,Applied Intelligence,AI/ML,3.50
0004-3702,Artificial Intelligence,AI/ML,4.60
2168-2267,IEEE Trans. Cybernetics,AI/ML,10.50
2162-237X,IEEE Trans. Neural Networks and Learning Systems,AI/ML,10.20
0162-8828,IEEE Trans. Pattern Analysis and Machine Intelligence,AI/ML,18.60
1532-4435,Journal of Machine Learning Research,AI/ML,5.20
0885-6125,Machine Learning,AI/ML,2.90
2522-5839,Nature Machine Intelligence,AI/ML,23.90
0941-0643,Neural Computing and Applications,AI/ML,5.00
0893-6080,Neural Networks,AI/ML,6.30
1077-3142,Computer Vision and Image Understanding,CV,3.50
1057-7149,IEEE Trans. Image Processing,CV,13.70
0920-5691,International Journal of Computer Vision,CV,9.30
0262-8856,Image and Vision Computing,CV,4.20
0031-3203,Pattern Recognition,CV,7.60
0167-8655,Pattern Recognition Letters,CV,3.30
1006-8961,China Journal of Image and Graphics (中国图象图形学报),CV (CN),NA
1051-8215,IEEE Trans. Circuits and Systems for Video Technology,CV/Video,11.10
1041-4347,IEEE Trans. Knowledge and Data Engineering,Data,10.40
2332-7790,IEEE Trans. Big Data,Data,5.70
0957-4174,Expert Systems with Applications,Data,7.50
0950-7051,Knowledge-Based Systems,Data,7.60
0925-2312,Neurocomputing,Data,6.50
0020-0255,Information Sciences,Data,6.80
1566-2535,Information Fusion,Data,15.50
1384-5810,Data Mining and Knowledge Discovery,Data,4.30
1520-9210,IEEE Trans. Multimedia,Graphics,9.70
1077-2626,IEEE Trans. Visualization and Computer Graphics,Graphics,6.50
0730-0301,ACM Trans. Graphics,Graphics,9.50
0167-7055,Computer Graphics Forum,Graphics,2.90
0929-5593,Autonomous Robots,Robotics,4.30
2377-3766,IEEE Robotics and Automation Letters,Robotics,5.30
1552-3098,IEEE Trans. Robotics,Robotics,10.50
0921-8890,Robotics and Autonomous Systems,Robotics,5.20
2379-8904,IEEE Trans. Intelligent Vehicles,Robotics/ITS,14.30
1524-9050,IEEE Trans. Intelligent Transportation Systems,ITS,8.40
2687-7813,IEEE Open Journal of Intelligent Transportation Systems,ITS,5.30
1751-9578,IET Intelligent Transport Systems,ITS,2.50
0968-090X,Transportation Research Part C: Emerging Technologies,ITS,7.90
0196-2892,IEEE Trans. Geoscience and Remote Sensing,RS,8.60
1545-598X,IEEE Geoscience and Remote Sensing Letters,RS,4.40
1939-1404,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,RS,5.50
0924-2716,ISPRS Journal of Photogrammetry and Remote Sensing,RS,12.20
2072-4292,Remote Sensing,RS,4.10
0034-4257,Remote Sensing of Environment,RS,11.40
0143-1161,International Journal of Remote Sensing,RS,2.6
1569-8432,International Journal of Applied Earth Observation and Geoinformation,RS,8.60
2352-9385,Remote Sensing Applications: Society and Environment,RS,4.50
2666-0172,Science of Remote Sensing,RS,5.20
1007-4619,National Remote Sensing Bulletin (遥感学报),RS (CN),NA
2520-8195,Remote Sensing in Earth Systems Science,RS,1.395
1548-1603,GIScience & Remote Sensing,RS/GIS,6.90
2220-9964,ISPRS International Journal of Geo-Information,RS/Geo,2.80
0099-1112,Photogrammetric Engineering & Remote Sensing,RS/Survey,2.00
0018-9251,IEEE Trans. Aerospace and Electronic Systems,Radar/SAR,5.70
1751-8784,"IET Radar, Sonar & Navigation",Radar/SAR,1.5
2095-283X,Journal of Radars (雷达学报),Radar/SAR (CN),NA
1053-587X,IEEE Trans. Signal Processing,Signal,5.028
0165-1684,Signal Processing,Signal,3.60
1051-2004,Digital Signal Processing,Signal,3.00
1687-6172,EURASIP Journal on Advances in Signal Processing,Signal,1.9
0949-7714,Journal of Geodesy,Geo/Geodesy,4.00
1080-5370,GPS Solutions,Geo/GNSS,3.90
1001-1595,Acta Geodaetica et Cartographica Sinica (测绘学报),Geo/Survey (CN),NA
1009-5020,Geo-spatial Information Science,Geo/Survey,5.5
1753-8947,International Journal of Digital Earth,RS/GIS,4.9
